λ,T,Optical Density
1491,1.92635e-06,5.71527
1490,2.50411e-06,5.60135
1489,3.2069899999999997e-06,5.4939
1488,2.23296e-06,5.65112
1487,2.9429599999999998e-06,5.53122
1486,2.96368e-06,5.52817
1485,2.75403e-06,5.56003
1484,2.10083e-06,5.67761
1483,2.81912e-06,5.54989
1482,4.07772e-06,5.38958
1481,2.9746900000000002e-06,5.52656
1480,2.71932e-06,5.56554
1479,3.52644e-06,5.45266
1478,3.1915399999999997e-06,5.496
1477,2.42629e-06,5.61506
1476,2.69766e-06,5.56901
1475,2.51442e-06,5.59956
1474,3.0246e-06,5.51933
1473,3.35678e-06,5.47408
1472,2.31212e-06,5.63599
1471,2.40011e-06,5.61977
1470,2.63338e-06,5.57949
1469,1.9016899999999999e-06,5.72086
1468,2.8104999999999996e-06,5.55122
1467,1.74678e-06,5.75776
1466,2.84256e-06,5.54629
1465,2.6139799999999997e-06,5.5827
1464,2.5297500000000002e-06,5.59692
1463,3.5555899999999996e-06,5.44909
1462,2.6183100000000003e-06,5.58198
1461,2.98318e-06,5.52532
1460,2.4156000000000002e-06,5.61698
1459,3.02019e-06,5.51997
1458,2.11753e-06,5.67417
1457,2.34743e-06,5.62941
1456,3.1070799999999997e-06,5.50765
1455,3.0717800000000003e-06,5.51261
1454,3.6138499999999997e-06,5.44203
1453,2.522e-06,5.59825
1452,3.00455e-06,5.52222
1451,3.5129699999999997e-06,5.45433
1450,2.05495e-06,5.6872
1449,1.87778e-06,5.72636
1448,2.15449e-06,5.66666
1447,2.89637e-06,5.53815
1446,3.75698e-06,5.42516
1445,2.9381399999999997e-06,5.53193
1444,2.16417e-06,5.66471
1443,2.84098e-06,5.54653
1442,2.82386e-06,5.54916
1441,3.03321e-06,5.5181
1440,2.55703e-06,5.59226
1439,2.09729e-06,5.67834
1438,2.4935799999999996e-06,5.60318
1437,3.12756e-06,5.50479
1436,2.39412e-06,5.62085
1435,3.07208e-06,5.51257
1434,2.34592e-06,5.62969
1433,2.00868e-06,5.69709
1432,2.47038e-06,5.60724
1431,3.25328e-06,5.48768
1430,2.54865e-06,5.59369
1429,2.80357e-06,5.55229
1428,3.12965e-06,5.5045
1427,2.8871099999999997e-06,5.53954
1426,2.62202e-06,5.58136
1425,2.03079e-06,5.69234
1424,2.56873e-06,5.59028
1423,3.1573000000000002e-06,5.50068
1422,2.4548e-06,5.60998
1421,2.44583e-06,5.61157
1420,2.3544000000000003e-06,5.62812
1419,2.34509e-06,5.62984
1418,1.87436e-06,5.72715
1417,2.39629e-06,5.62046
1416,2.67526e-06,5.57263
1415,2.1456000000000003e-06,5.66845
1414,2.42406e-06,5.61546
1413,3.0635900000000003e-06,5.51377
1412,2.3904199999999997e-06,5.62153
1411,2.29649e-06,5.63894
1410,3.7104899999999996e-06,5.43057
1409,2.21402e-06,5.65482
1408,3.1058700000000002e-06,5.50782
1407,2.3326600000000003e-06,5.63215
1406,3.21655e-06,5.49261
1405,3.9770499999999995e-06,5.40044
1404,3.60462e-06,5.44314
1403,3.19826e-06,5.49509
1402,2.3216e-06,5.63421
1401,1.56882e-06,5.80443
